Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_R1_001	83980.0	61.0	39102.0	46.56	60.42	4968.0	4750.0	4888.0	45.0	34.0	1.0	1.17	0.01	1.87	0.01	1.84	3181.0	3.79	405.0	0.48	0.04	36.65	12.48	34	30778	10480
209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_R1_001	136912.0	62.0	68676.0	50.16	58.49	7803.0	7241.0	7649.0	107.0	47.0	0.0	1.44	0.02	2.04	0.01	2.08	5221.0	3.81	484.0	0.35	0.05	43.32	2.3	68	59313	3149
209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_R1_001	681106.0	63.0	397533.0	58.37	60.45	34011.0	32639.0	33423.0	485.0	91.0	12.0	0.86	0.02	2.0	0.02	1.83	21910.0	3.22	2301.0	0.34	0.04	34.62	3.42	272	235796	23294
209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_R1_001	49393.0	57.0	27746.0	56.17	53.22	1896.0	1760.0	1848.0	37.0	10.0	1.0	1.86	0.01	1.94	0.01	1.93	2264.0	4.58	232.0	0.47	0.05	34.52	4.2	25	17052	2075
209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_R1_001	6092948.0	67.0	4095248.0	67.21	66.89	253356.0	244393.0	249404.0	3560.0	138.0	254.0	0.66	0.03	1.85	0.02	1.87	175545.0	2.88	15411.0	0.25	0.12	25.65	3.88	7312	1563001	236431
209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_R1_001	18267.0	51.0	3389.0	18.55	55.17	119.0	111.0	117.0	2.0	0.0	0.0	1.24	0.02	2.21	0.03	2.35	385.0	2.11	44.0	0.24	0.03	78.46	0.61	5	14332	111
209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_R1_001	3111176.0	65.0	1603923.0	51.55	62.06	144722.0	139354.0	142495.0	2030.0	166.0	31.0	0.78	0.04	3.13	0.02	2.15	116732.0	3.75	11716.0	0.38	0.06	39.67	4.58	1867	1234421	142517
209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_R1_001	26343.0	58.0	14110.0	53.56	56.15	875.0	833.0	856.0	13.0	6.0	0.0	1.32	0.02	2.22	0.02	2.03	893.0	3.39	111.0	0.42	0.05	36.66	5.91	13	9659	1557
209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_R1_001	12623.0	61.0	5255.0	41.63	62.92	240.0	229.0	238.0	2.0	0.0	0.0	1.16	0.03	2.38	0.03	1.88	573.0	4.54	54.0	0.43	0.11	49.89	3.41	14	6297	430
209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_R1_001	6044.0	62.0	3483.0	57.63	63.47	190.0	179.0	187.0	2.0	1.0	0.0	0.92	0.04	2.33	0.03	1.91	173.0	2.86	20.0	0.33	0.12	29.91	9.15	7	1808	553
209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_R1_001	14039.0	60.0	7164.0	51.03	58.93	446.0	429.0	437.0	8.0	1.0	0.0	1.23	0.03	2.52	0.02	1.63	412.0	2.93	51.0	0.36	0.13	40.81	4.74	18	5728	665
209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_R1_001	4534296.0	67.0	2127331.0	46.92	64.13	211786.0	204467.0	208471.0	3013.0	245.0	57.0	0.82	0.02	2.03	0.02	1.82	138766.0	3.06	17404.0	0.38	0.08	44.09	5.48	3627	1998742	248426
209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_R1_001	2162220.0	60.0	1249275.0	57.78	58.44	100670.0	96587.0	99123.0	1324.0	170.0	53.0	0.76	0.02	1.83	0.02	2.02	79932.0	3.7	9791.0	0.45	0.06	33.37	4.64	1297	721590	100335
209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_R1_001	2735822.0	61.0	1706283.0	62.37	59.58	133657.0	128730.0	131719.0	1748.0	111.0	79.0	0.7	0.03	2.21	0.02	1.85	99875.0	3.65	13188.0	0.48	0.06	29.12	4.31	1642	796888	117946
209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_R1_001	7676878.0	69.0	6921479.0	90.16	69.25	159879.0	154332.0	157905.0	1814.0	66.0	94.0	0.57	0.04	2.15	0.02	1.72	144655.0	1.88	7939.0	0.1	0.11	7.08	0.66	8447	543676	50682
209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_R1_001	4905044.0	66.0	4163242.0	84.88	65.8	99286.0	95700.0	97739.0	1339.0	68.0	140.0	0.51	0.04	2.69	0.02	1.64	115323.0	2.35	6807.0	0.14	0.1	11.83	0.7	4906	580421	34344
209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_R1_001	6963376.0	69.0	6243116.0	89.66	69.65	120835.0	115189.0	119359.0	1244.0	69.0	163.0	0.58	0.05	2.15	0.03	1.71	145734.0	2.09	8313.0	0.12	0.08	7.24	0.81	5572	504229	56412
209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_R1_001	1000868.0	64.0	777698.0	77.7	62.65	22400.0	21723.0	22049.0	300.0	36.0	15.0	0.65	0.03	2.43	0.01	1.67	25832.0	2.58	1831.0	0.18	0.06	18.55	0.92	601	185697	9210
209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29_R1_001	6364778.0	69.0	5692038.0	89.43	68.96	117275.0	112768.0	115687.0	1387.0	35.0	166.0	0.59	0.05	2.21	0.03	1.75	131285.0	2.06	6963.0	0.11	0.07	7.56	0.77	4454	481043	48995
209060_HY55YBGXT_TCDM_1_F04_C17_1_1_i_TGGATT_S30_R1_001	8427886.0	70.0	7773879.0	92.24	70.75	129902.0	122900.0	126370.0	1477.0	88.0	1967.0	0.46	0.04	2.06	0.03	1.9	144658.0	1.72	5699.0	0.07	0.08	5.46	0.44	6738	459854	37058
209061_HY55YBGXT_TCDM_1_G04_X4_67_2_i_ACCTAC_S31_R1_001	7386038.0	71.0	6580157.0	89.09	70.92	154688.0	147518.0	152630.0	1893.0	61.0	104.0	0.57	0.03	2.04	0.03	1.68	135398.0	1.83	5639.0	0.08	0.12	7.75	1.13	8865	572505	83475
209062_HY55YBGXT_TCDM_1_H04_X4_67_1_i_CGAAGG_S32_R1_001	9676828.0	70.0	8674031.0	89.64	70.48	250720.0	236671.0	247730.0	2755.0	96.0	139.0	0.56	0.04	2.09	0.02	1.66	199738.0	2.06	9238.0	0.1	0.12	6.56	1.52	11617	635057	147147
209063_HY55YBGXT_TCDM_1_A05_C64_1_2_i_AGATAG_S33_R1_001	4001748.0	64.0	2078568.0	51.94	61.38	150962.0	145567.0	148467.0	2225.0	160.0	110.0	0.69	0.03	2.71	0.01	1.55	135935.0	3.4	12345.0	0.31	0.08	37.17	7.1	3202	1487554	284144
209064_HY55YBGXT_TCDM_1_B05_C64_1_1_o_TTGGTA_S34_R1_001	6585948.0	66.0	4718731.0	71.65	66.43	287799.0	278536.0	283578.0	3889.0	168.0	164.0	0.55	0.03	2.47	0.02	1.62	187325.0	2.84	19523.0	0.3	0.12	22.27	2.82	7903	1466736	185729
209065_HY55YBGXT_TCDM_1_C05_X5_31_3_i_GTTACC_S35_R1_001	4662562.0	67.0	2552736.0	54.75	65.72	178981.0	173118.0	176233.0	2420.0	155.0	173.0	0.71	0.03	2.16	0.02	1.86	132314.0	2.84	12408.0	0.27	0.09	35.5	6.56	4196	1655070	305838
209066_HY55YBGXT_TCDM_1_D05_X4_67_3_o_CGCAAC_S36_R1_001	263534.0	63.0	132420.0	50.25	59.01	12314.0	11706.0	12122.0	117.0	73.0	2.0	1.24	0.01	2.12	0.01	2.01	8984.0	3.41	906.0	0.34	0.04	42.85	3.12	105	112898	8220
209067_HY55YBGXT_TCDM_1_E05_X5_31_2_i_TGGCGA_S37_R1_001	6816337.0	69.0	3865403.0	56.71	68.15	262738.0	253830.0	258640.0	3656.0	167.0	275.0	0.71	0.03	2.07	0.02	1.79	176509.0	2.59	15933.0	0.23	0.09	33.15	7.24	6133	2258992	493367
209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_R1_001	27674.0	62.0	11033.0	39.87	61.49	646.0	618.0	630.0	15.0	1.0	0.0	0.79	0.04	2.76	0.02	1.71	787.0	2.84	117.0	0.42	0.12	49.03	7.71	33	13570	2134
209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_R1_001_trimmed_still3adapt	27855.0	64.0	10991.0	39.46	61.67	645.0	618.0	629.0	15.0	1.0	0.0	0.79	0.04	2.76	0.02	1.69	714.0	2.56	112.0	0.4	0.12	49.79	7.66	33	13871	2134
209069_HY55YBGXT_TCDM_1_G05_A20_1_1_o_CAACAG_S39_R1_001	671515.0	62.0	358133.0	53.33	59.58	36790.0	35305.0	36222.0	447.0	115.0	6.0	0.95	0.02	1.98	0.01	1.95	26144.0	3.89	4234.0	0.63	0.04	38.34	3.76	269	257484	25251
209070_HY55YBGXT_TCDM_1_H05_C17_1_3_o_GATTGT_S40_R1_001	8112211.0	64.0	3546605.0	43.72	64.95	222987.0	213268.0	219267.0	3216.0	149.0	355.0	0.69	0.03	2.04	0.02	1.77	178279.0	2.2	24589.0	0.3	0.11	25.33	28.34	8923	2054819	2298996
209071_HY55YBGXT_TCDM_1_A06_A20_1_1_i_CTCTCG_S41_R1_001	6684771.0	66.0	3877601.0	58.01	65.44	268806.0	260824.0	264923.0	3615.0	188.0	80.0	0.77	0.02	1.9	0.02	1.91	225761.0	3.38	26559.0	0.4	0.09	34.0	4.13	6016	2272760	276074
209072_HY55YBGXT_TCDM_1_B06_A20_1_2_o_TGACAC_S42_R1_001	577160.0	59.0	379796.0	65.8	57.73	24929.0	24025.0	24598.0	274.0	52.0	5.0	0.79	0.02	2.02	0.02	1.98	20302.0	3.52	2480.0	0.43	0.03	27.87	2.34	173	160899	13509
209073_HY55YBGXT_TCDM_1_C06_X5_31_1_o_AAGACA_S43_R1_001	151259.0	57.0	53996.0	35.7	60.28	3306.0	3136.0	3238.0	60.0	5.0	3.0	1.04	0.03	2.02	0.02	1.81	8766.0	5.8	938.0	0.62	0.13	55.13	2.63	197	83384	3978
209074_HY55YBGXT_TCDM_1_D06_X4_67_1_o_ACAGAT_S44_R1_001	139200.0	63.0	69247.0	49.75	61.26	7863.0	7394.0	7739.0	70.0	53.0	1.0	1.38	0.01	1.87	0.01	2.05	5596.0	4.02	567.0	0.41	0.05	43.65	2.13	70	60756	2965
209075_HY55YBGXT_TCDM_1_E06_A27_1_2_o_TAGGCT_S45_R1_001	497189.0	64.0	265327.0	53.37	59.2	26802.0	25661.0	26227.0	458.0	113.0	4.0	1.28	0.02	2.24	0.01	2.18	17723.0	3.56	2525.0	0.51	0.03	38.45	4.09	149	191134	20331
209076_HY55YBGXT_TCDM_1_F06_X5_31_3_o_CTCCAT_S46_R1_001	105240.0	61.0	56117.0	53.32	57.7	5475.0	5187.0	5363.0	74.0	37.0	1.0	1.36	0.02	1.97	0.01	1.98	3840.0	3.65	438.0	0.42	0.05	39.98	2.59	53	42067	2725
209077_HY55YBGXT_TCDM_1_G06_X5_31_2_o_GCATGG_S47_R1_001	141728.0	59.0	81956.0	57.83	56.9	8587.0	8172.0	8452.0	104.0	29.0	2.0	1.06	0.02	1.93	0.01	1.84	5014.0	3.54	678.0	0.48	0.04	34.51	3.61	57	48907	5116
209078_HY55YBGXT_TCDM_1_H06_C64_1_3_i_AATAGC_S48_R1_001	7490715.0	62.0	4386302.0	58.56	62.11	305493.0	295177.0	300958.0	4164.0	162.0	209.0	0.68	0.03	2.34	0.02	1.64	219232.0	2.93	37144.0	0.5	0.14	31.52	6.36	10487	2361129	476421
209079_HY55YBGXT_TCDM_1_A07_A20_1_2_i_GTGCCA_S49_R1_001	6520475.0	63.0	4588509.0	70.37	63.33	294158.0	285348.0	290127.0	3783.0	102.0	146.0	0.66	0.03	1.92	0.02	1.89	201350.0	3.09	25453.0	0.39	0.1	22.63	3.42	6521	1475634	223008
209080_HY55YBGXT_TCDM_1_B07_A20_1_3_i_TCGAGG_S50_R1_001	7111791.0	66.0	4708529.0	66.21	66.98	255421.0	245789.0	251627.0	3543.0	122.0	129.0	0.72	0.03	1.9	0.03	1.84	205936.0	2.9	22890.0	0.32	0.14	24.4	6.04	9955	1734998	429483
209081_HY55YBGXT_TCDM_1_C07_A20_1_3_o_CACTAA_S51_R1_001	6649252.0	64.0	5180002.0	77.9	65.13	263754.0	255463.0	260153.0	3369.0	122.0	110.0	0.65	0.03	2.01	0.03	1.91	190179.0	2.86	19940.0	0.3	0.07	16.91	1.96	4654	1124177	130301
209082_HY55YBGXT_TCDM_1_D07_A27_1_3_o_GGTATA_S52_R1_001	7352833.0	65.0	5205206.0	70.79	66.39	298597.0	286984.0	294178.0	4129.0	117.0	173.0	0.62	0.04	2.4	0.03	1.94	205498.0	2.79	24929.0	0.34	0.12	20.91	5.04	8825	1537731	370644
209083_HY55YBGXT_TCDM_1_E07_A27_1_1_o_CGCCTG_S53_R1_001	6405884.0	65.0	3772802.0	58.9	64.66	244464.0	235604.0	240869.0	3301.0	154.0	140.0	0.67	0.04	2.7	0.03	2.01	197820.0	3.09	22146.0	0.35	0.09	30.26	7.32	5765	1938436	468914
209084_HY55YBGXT_TCDM_1_F07_X5_31_1_i_AATGAA_S54_R1_001	6741884.0	64.0	3714128.0	55.09	64.45	287752.0	277426.0	282925.0	4466.0	120.0	241.0	0.72	0.03	2.07	0.02	1.79	195188.0	2.9	38204.0	0.57	0.14	30.31	10.99	9440	2043851	741073
209085_HY55YBGXT_TCDM_1_G07_X11_57_1_i_ACAACG_S55_R1_001	6771466.0	65.0	4150297.0	61.29	65.58	283807.0	274315.0	279274.0	4304.0	99.0	130.0	0.69	0.03	2.0	0.02	1.71	183090.0	2.7	29054.0	0.43	0.15	29.19	6.23	10159	1976931	421935
209086_HY55YBGXT_TCDM_1_H07_X2_45_2_i_ATATCC_S56_R1_001	6083646.0	62.0	4262301.0	70.06	63.23	298613.0	287681.0	294090.0	4238.0	143.0	142.0	0.57	0.03	2.28	0.02	1.79	170059.0	2.8	23813.0	0.39	0.13	22.59	4.03	7909	1374378	245186
209087_HY55YBGXT_TCDM_1_A08_X2_45_2_o_AGTACT_S57_R1_001	7597806.0	66.0	4598650.0	60.53	65.38	280970.0	269503.0	276500.0	4101.0	177.0	192.0	0.65	0.04	2.18	0.03	1.79	210731.0	2.77	26608.0	0.35	0.12	29.03	7.2	9117	2205655	547045
209088_HY55YBGXT_TCDM_1_B08_X2_45_1_i_ATAAGA_S58_R1_001	7982026.0	65.0	5834022.0	73.09	66.22	301736.0	291032.0	297313.0	3934.0	122.0	367.0	0.57	0.03	2.17	0.02	1.79	188159.0	2.36	21474.0	0.27	0.12	19.24	4.92	9580	1536007	392784
209089_HY55YBGXT_TCDM_1_C08_X2_45_3_o_GGTGAG_S59_R1_001	7524823.0	64.0	5195822.0	69.05	65.15	285221.0	273097.0	280935.0	3985.0	122.0	179.0	0.59	0.04	2.16	0.03	1.77	185660.0	2.47	26060.0	0.35	0.12	21.1	6.91	9032	1588149	520100
209090_HY55YBGXT_TCDM_1_D08_X2_45_3_i_TTCCGC_S60_R1_001	8339742.0	66.0	6549779.0	78.54	66.97	258403.0	246494.0	254495.0	3593.0	108.0	207.0	0.55	0.04	2.11	0.03	1.68	192482.0	2.31	17269.0	0.21	0.12	13.88	4.95	10007	1157432	412773
209091_HY55YBGXT_TCDM_1_E08_X2_45_1_o_GAAGTG_S61_R1_001	15192.0	62.0	9956.0	65.53	63.9	481.0	468.0	472.0	5.0	1.0	3.0	0.69	0.04	2.14	0.03	1.7	409.0	2.69	56.0	0.37	0.07	26.09	5.24	11	3964	796
209092_HY55YBGXT_TCDM_1_F08_X11_68_1_o_CAATGC_S62_R1_001	25140.0	60.0	13068.0	51.98	61.47	767.0	715.0	755.0	10.0	1.0	1.0	0.99	0.03	2.19	0.02	1.95	963.0	3.83	118.0	0.47	0.09	39.6	4.03	23	9955	1013
209093_HY55YBGXT_TCDM_1_G08_X11_68_1_i_ACGTCT_S63_R1_001	6631556.0	64.0	4238417.0	63.91	64.78	272787.0	263517.0	268338.0	4201.0	135.0	113.0	0.66	0.03	2.16	0.03	1.88	166290.0	2.51	28587.0	0.43	0.17	27.47	5.51	11273	1821607	365382
209094_HY55YBGXT_TCDM_1_H08_X11_68_3_i_CAGGAC_S64_R1_001	6354492.0	64.0	4005467.0	63.03	64.59	297351.0	287143.0	292096.0	4981.0	160.0	114.0	0.64	0.03	2.16	0.03	1.88	159272.0	2.51	29422.0	0.46	0.15	28.22	5.63	9531	1793075	357725
209095_HY55YBGXT_TCDM_1_A09_X11_68_3_o_AAGCTC_S65_R1_001	4385692.0	62.0	2519506.0	57.45	60.98	173453.0	167089.0	170668.0	2502.0	219.0	64.0	0.72	0.03	2.42	0.02	1.83	139852.0	3.19	18374.0	0.42	0.1	33.75	5.09	4386	1480320	223254
209096_HY55YBGXT_TCDM_1_B09_X11_68_2_o_GACGAT_S66_R1_001	7721873.0	69.0	6093463.0	78.91	69.69	265116.0	255690.0	261163.0	3703.0	124.0	126.0	0.61	0.04	2.2	0.03	1.96	179844.0	2.33	18893.0	0.24	0.17	16.79	1.55	13130	1296824	119719
209097_HY55YBGXT_TCDM_1_C09_A20_2_3_o_TCGTTC_S67_R1_001	646399.0	62.0	280935.0	43.46	53.9	14655.0	14099.0	14389.0	199.0	63.0	4.0	1.61	0.01	1.87	0.01	2.01	28754.0	4.45	1827.0	0.28	0.03	48.06	3.72	194	310644	24045
209098_HY55YBGXT_TCDM_1_D09_A03_2_1_o_CCAATT_S68_R1_001	7137881.0	67.0	4394610.0	61.57	66.57	341312.0	328676.0	336338.0	4612.0	171.0	191.0	0.69	0.04	2.17	0.02	1.71	184384.0	2.58	20468.0	0.29	0.1	28.53	6.94	7136	2036016	495266
209099_HY55YBGXT_TCDM_1_E09_C17_2_3_o_AGTTGA_S69_R1_001	5611201.0	63.0	3788596.0	67.52	63.01	196727.0	189346.0	193757.0	2625.0	200.0	145.0	0.54	0.03	2.22	0.02	1.84	140506.0	2.5	15085.0	0.27	0.09	24.81	4.81	5050	1392077	269887
209100_HY55YBGXT_TCDM_1_F09_A03_2_1_i_AACCGA_S70_R1_001	7094214.0	65.0	4859944.0	68.51	65.57	335561.0	322898.0	330515.0	4700.0	137.0	209.0	0.64	0.04	2.16	0.03	1.63	185555.0	2.62	23846.0	0.34	0.16	22.26	6.13	11348	1578760	434762
209101_HY55YBGXT_TCDM_1_G09_C14_2_1_i_CAGATG_S71_R1_001	6149362.0	63.0	4292462.0	69.8	63.69	313384.0	301535.0	308911.0	4197.0	124.0	152.0	0.52	0.03	2.22	0.02	1.76	163970.0	2.67	20818.0	0.34	0.13	21.62	5.44	7995	1329572	334545
209102_HY55YBGXT_TCDM_1_H09_A20_2_2_i_GTAGAA_S72_R1_001	5784834.0	62.0	3600401.0	62.24	62.58	257037.0	248290.0	253125.0	3598.0	196.0	118.0	0.7	0.02	1.91	0.02	1.97	195328.0	3.38	29779.0	0.51	0.1	28.25	5.52	5785	1634218	319323
209103_HY55YBGXT_TCDM_1_A10_A20_2_1_o_GACATC_S73_R1_001	7836386.0	64.0	5668884.0	72.34	64.51	298399.0	288019.0	294092.0	4050.0	123.0	134.0	0.65	0.03	1.98	0.03	1.96	243287.0	3.1	29710.0	0.38	0.08	21.49	2.61	6268	1683743	204494
209104_HY55YBGXT_TCDM_1_B10_C14_2_2_o_CGATCT_S74_R1_001	4207361.0	57.0	2690686.0	63.95	57.64	191602.0	184748.0	188859.0	2517.0	117.0	109.0	0.53	0.02	2.4	0.01	1.74	133514.0	3.17	19664.0	0.47	0.08	26.38	5.95	3366	1109813	250318
209105_HY55YBGXT_TCDM_1_C10_A04_2_3_o_CGTCGC_S75_R1_001	1983077.0	57.0	1293362.0	65.22	57.62	81294.0	78333.0	80072.0	1126.0	47.0	49.0	0.66	0.03	2.0	0.02	1.86	63983.0	3.23	10243.0	0.52	0.06	24.93	6.05	1190	494334	119965
209106_HY55YBGXT_TCDM_1_D10_A04_2_1_o_ATGGCG_S76_R1_001	275370.0	59.0	185482.0	67.36	58.46	9219.0	8885.0	9070.0	139.0	6.0	4.0	0.71	0.03	2.06	0.02	1.8	8385.0	3.04	793.0	0.29	0.04	25.45	3.83	110	70057	10543
209107_HY55YBGXT_TCDM_1_E10_A04_2_1_i_ATTGGT_S77_R1_001	760848.0	57.0	538303.0	70.75	57.06	35307.0	34114.0	34882.0	386.0	22.0	17.0	0.62	0.03	2.17	0.02	1.84	23250.0	3.06	2661.0	0.35	0.04	21.23	4.57	304	161553	34776
209108_HY55YBGXT_TCDM_1_F10_A04_2_3_i_GCCACA_S78_R1_001	1897828.0	58.0	1142814.0	60.22	57.77	92276.0	89154.0	91006.0	1166.0	59.0	45.0	0.7	0.03	2.07	0.02	1.82	65065.0	3.43	11159.0	0.59	0.06	29.84	5.86	1139	566418	111233
209109_HY55YBGXT_TCDM_1_G10_A20_2_1_i_CATCTA_S79_R1_001	6483527.0	64.0	4462911.0	68.83	64.56	280661.0	271476.0	276566.0	3847.0	134.0	114.0	0.66	0.03	1.87	0.03	1.99	198054.0	3.05	26093.0	0.4	0.1	23.57	4.04	6483	1528068	261918
209110_HY55YBGXT_TCDM_1_H10_A04_2_2_o_AACAAG_S80_R1_001	3914536.0	61.0	2025541.0	51.74	59.08	171370.0	164912.0	168771.0	2375.0	123.0	101.0	0.76	0.03	2.15	0.02	1.86	150095.0	3.83	22553.0	0.58	0.07	38.31	5.46	2741	1499846	213760
209111_HY55YBGXT_TCDM_1_A11_A04_2_2_i_GCAGCC_S81_R1_001	6480246.0	67.0	4776391.0	73.71	66.98	267033.0	257782.0	263170.0	3578.0	107.0	178.0	0.61	0.04	2.16	0.02	1.79	163454.0	2.52	16523.0	0.25	0.11	20.38	3.02	7130	1320997	195751
209112_HY55YBGXT_TCDM_1_B11_A20_2_2_o_ACTCTT_S82_R1_001	7272257.0	64.0	5211147.0	71.66	65.38	247214.0	238445.0	243549.0	3414.0	102.0	149.0	0.66	0.03	1.98	0.03	1.94	218691.0	3.01	28293.0	0.39	0.1	20.66	4.18	7274	1502800	304052
209113_HY55YBGXT_TCDM_1_C11_C17_2_1_i_TGCTAT_S83_R1_001	5998188.0	64.0	4221790.0	70.38	65.12	250620.0	241609.0	246748.0	3437.0	125.0	310.0	0.52	0.03	2.19	0.02	1.83	146950.0	2.45	18298.0	0.31	0.13	23.5	3.23	7798	1409606	193746
209114_HY55YBGXT_TCDM_1_D11_A03_2_3_i_AAGTGG_S84_R1_001	8497582.0	69.0	7156025.0	84.21	69.19	297432.0	286867.0	293383.0	3725.0	95.0	229.0	0.57	0.04	2.24	0.03	1.65	193111.0	2.27	16671.0	0.2	0.12	12.08	1.11	10204	1027186	94385
209115_HY55YBGXT_TCDM_1_E11_C14_2_3_i_CTCATA_S85_R1_001	3874921.0	62.0	2395319.0	61.82	61.28	187771.0	181184.0	185058.0	2329.0	305.0	79.0	0.62	0.02	2.25	0.01	1.79	114566.0	2.96	11702.0	0.3	0.07	29.7	5.15	2713	1151031	199590
209116_HY55YBGXT_TCDM_1_F11_C14_2_1_i_CCGACC_S86_R1_001	4947153.0	59.0	3188221.0	64.45	59.57	268713.0	258701.0	264695.0	3721.0	171.0	126.0	0.58	0.02	2.26	0.01	1.69	158769.0	3.21	22792.0	0.46	0.1	26.63	5.15	4948	1317609	254814
