sampleID,block_y,harvest_date_y,dry_date_y
A01_2_3_i,2,5/25/22,7/20/22
A01_2_3_o,2,5/25/22,7/20/22
X6_53_1_i,2,5/25/22,7/25/22
X6_53_1_o,2,5/25/22,8/3/22
X6_53_2_i,2,5/25/22,8/3/22
X6_53_2_o,2,5/25/22,8/3/22
X6_53_3_i,2,5/25/22,8/3/22
X6_53_3_o,2,5/25/22,8/3/22
C17_2_1_i,2,5/25/22,8/3/22
C17_2_1_o,2,5/25/22,8/3/22
C17_2_2_i,2,5/25/22,8/3/22
C17_2_2_o,2,5/25/22,8/3/22
C17_2_3_i,2,5/25/22,8/3/22
C17_2_3_o,2,5/25/22,8/3/22
A03_2_1_i,2,5/25/22,8/3/22
A03_2_1_o,2,5/25/22,7/25/22
A03_2_2_i,2,5/25/22,7/25/22
A03_2_2_o,2,5/25/22,8/3/22
A03_2_3_i,2,5/25/22,8/3/22
A03_2_3_o,2,5/25/22,8/3/22
X3_60_1_i,2,5/25/22,8/3/22
X3_60_1_o,2,5/25/22,7/25/22
X3_60_2_i,2,5/25/22,7/25/22
X3_60_2_o,2,5/25/22,7/25/22
X3_60_3_i,2,5/25/22,7/25/22
X3_60_3_o,2,5/25/22,7/25/22
X9_51_1_i,2,5/25/22,7/25/22
X9_51_1_o,2,5/25/22,7/25/22
X9_51_2_i,2,5/25/22,7/25/22
X9_51_2_o,2,5/25/22,7/25/22
X9_51_3_i,2,5/25/22,7/25/22
X9_51_3_o,2,5/25/22,7/25/22
X11_68_1_i,2,5/25/22,7/25/22
X11_68_1_o,2,5/25/22,7/25/22
X11_68_2_i,2,5/25/22,7/25/22
X11_68_2_o,2,5/25/22,7/25/22
X11_68_3_i,2,5/25/22,7/25/22
X11_68_3_o,2,5/25/22,7/25/22
X4_33_1_i,2,5/25/22,6/29/22
X4_33_1_o,2,5/25/22,7/25/22
X4_33_2_i,2,5/25/22,7/25/22
X4_33_2_o,2,5/25/22,6/29/22
X4_33_3_i,2,5/25/22,7/25/22
X4_33_3_o,2,5/25/22,7/25/22
X12_63_1_i,2,5/25/22,6/29/22
X12_63_1_o,2,5/25/22,6/29/22
X12_63_2_i,2,5/25/22,6/29/22
X12_63_2_o,2,5/25/22,6/29/22
X12_63_3_i,2,5/25/22,6/29/22
X12_63_3_o,2,5/25/22,6/29/22
X5_47_1_i,2,5/25/22,6/29/22
X5_47_1_o,2,5/25/22,6/29/22
X5_47_2_i,2,5/25/22,6/29/22
X5_47_2_o,2,5/25/22,6/29/22
X5_47_3_i,2,5/25/22,6/29/22
X5_47_3_o,2,5/25/22,6/29/22
C65_2_1_i,2,5/25/22,6/29/22
C65_2_1_o,2,5/25/22,6/29/22
C65_2_2_i,2,5/25/22,6/29/22
C65_2_2_o,2,5/25/22,7/14/22
C65_2_3_i,2,5/25/22,6/29/22
C65_2_3_o,2,5/25/22,6/29/22
A20_2_1_i,2,5/25/22,7/14/22
A20_2_1_o,2,5/25/22,6/29/22
A20_2_2_i,2,5/25/22,7/14/22
A20_2_2_o,2,5/25/22,7/14/22
A20_2_3_i,2,5/25/22,6/29/22
A20_2_3_o,2,5/25/22,6/29/22
X8_64_1_i,2,5/25/22,7/14/22
X8_64_1_o,2,5/25/22,6/29/22
X8_64_2_i,2,5/25/22,7/14/22
X8_64_2_o,2,5/25/22,7/14/22
X8_64_3_i,2,5/25/22,6/29/22
X8_64_3_o,2,5/25/22,7/14/22
C14_2_1_i,2,5/25/22,8/1/22
C14_2_1_o,2,5/25/22,7/14/22
C14_2_2_i,2,5/25/22,7/14/22
C14_2_2_o,2,5/25/22,6/29/22
C14_2_3_i,2,5/25/22,6/29/22
C14_2_3_o,2,5/25/22,7/14/22
X10_50_1_i,2,5/25/22,8/3/22
X10_50_1_o,2,5/25/22,6/29/22
X10_50_2_i,2,5/25/22,7/14/22
X10_50_2_o,2,5/25/22,7/14/22
X10_50_3_i,2,5/25/22,7/14/22
X10_50_3_o,2,5/25/22,7/14/22
X5_66_1_i,3,5/26/22,7/20/22
X5_66_1_o,3,5/26/22,7/20/22
X5_66_2_i,3,5/26/22,7/20/22
X5_66_2_o,3,5/26/22,7/20/22
X5_66_3_i,3,5/26/22,7/20/22
X5_66_3_o,3,5/26/22,7/20/22
C17_3_1_i,3,5/26/22,7/20/22
C17_3_1_o,3,5/26/22,7/20/22
C17_3_2_i,3,5/26/22,7/20/22
C17_3_2_o,3,5/26/22,7/20/22
C17_3_3_i,3,5/26/22,8/1/22
C17_3_3_o,3,5/26/22,7/20/22
X6_38_1_i,3,5/26/22,8/1/22
X6_38_1_o,3,5/26/22,7/20/22
X6_38_2_i,3,5/26/22,7/20/22
X6_38_2_o,3,5/26/22,8/1/22
X6_38_3_i,3,5/26/22,8/1/22
X6_38_3_o,3,5/26/22,8/1/22
X4_46_1_i,3,5/26/22,7/20/22
X4_46_1_o,3,5/26/22,8/1/22
X4_46_2_i,3,5/26/22,8/1/22
X4_46_2_o,3,5/26/22,8/1/22
X4_46_3_i,3,5/26/22,8/1/22
X4_46_3_o,3,5/26/22,8/1/22
X9_35_1_i,3,5/26/22,8/1/22
X9_35_1_o,3,5/26/22,8/1/22
X9_35_2_i,3,5/26/22,8/1/22
X9_35_2_o,3,5/26/22,8/1/22
X9_35_3_i,3,5/26/22,8/1/22
X9_35_3_o,3,5/26/22,8/1/22
C64_3_1_i,3,5/26/22,8/1/22
C64_3_1_o,3,5/26/22,8/1/22
C64_3_2_i,3,5/26/22,8/1/22
C64_3_2_o,3,5/26/22,8/1/22
C64_3_3_i,3,5/26/22,8/1/22
C64_3_3_o,3,5/26/22,8/1/22
X2_58_1_i,3,5/26/22,7/25/22
X2_58_1_o,3,5/26/22,7/25/22
X2_58_2_i,3,5/26/22,7/25/22
X2_58_2_o,3,5/26/22,7/25/22
X2_58_3_i,3,5/26/22,7/25/22
X2_58_3_o,3,5/26/22,7/25/22
X8_41.5_1_i,3,5/26/22,7/25/22
X8_41.5_1_o,3,5/26/22,7/25/22
X8_41.5_2_i,3,5/26/22,7/25/22
X8_41.5_2_o,3,5/26/22,7/25/22
X8_41.5_3_i,3,5/26/22,7/25/22
X8_41.5_3_o,3,5/26/22,7/25/22
A27_3_1_i,3,5/26/22,7/25/22
A27_3_1_o,3,5/26/22,7/25/22
A27_3_2_i,3,5/26/22,7/14/22
A27_3_2_o,3,5/26/22,7/25/22
A27_3_3_i,3,5/26/22,7/14/22
A27_3_3_o,3,5/26/22,7/25/22
C43_3_1_i,3,5/26/22,7/14/22
C43_3_1_o,3,5/26/22,7/25/22
C43_3_2_i,3,5/26/22,7/14/22
C43_3_2_o,3,5/26/22,7/14/22
C43_3_3_i,3,5/26/22,7/25/22
C43_3_3_o,3,5/26/22,7/25/22
X9_41_1_i,3,5/26/22,7/25/22
X9_41_1_o,3,5/26/22,7/25/22
X9_41_2_i,3,5/26/22,7/14/22
X9_41_2_o,3,5/26/22,7/14/22
X9_41_3_i,3,5/26/22,7/14/22
X9_41_3_o,3,5/26/22,7/14/22
X10_30_1_i,3,5/26/22,7/14/22
X10_30_1_o,3,5/26/22,7/14/22
X10_30_2_i,3,5/26/22,7/14/22
X10_30_2_o,3,5/26/22,7/14/22
X10_30_3_i,3,5/26/22,7/14/22
X10_30_3_o,3,5/26/22,7/14/22
A03_3_1_i,3,5/26/22,7/14/22
A03_3_1_o,3,5/26/22,7/14/22
A03_3_2_i,3,5/26/22,7/14/22
A03_3_2_o,3,5/26/22,7/14/22
A03_3_3_i,3,5/26/22,7/14/22
A03_3_3_o,3,5/26/22,7/14/22
C14_3_1_i,3,5/26/22,7/14/22
C14_3_1_o,3,5/26/22,7/14/22
C14_3_2_i,3,5/26/22,7/14/22
C14_3_2_o,3,5/26/22,7/14/22
C14_3_3_i,3,5/26/22,7/14/22
C14_3_3_o,3,5/26/22,7/14/22
X3_44_1_i,3,5/26/22,7/14/22
X3_44_1_o,3,5/26/22,7/14/22
X3_44_2_i,3,5/26/22,7/14/22
X3_44_2_o,3,5/26/22,7/14/22
X3_44_3_i,3,5/26/22,7/14/22
X3_44_3_o,3,5/26/22,7/14/22
A01_3_1_i,3,5/26/22,7/14/22
A01_3_1_o,3,5/26/22,7/14/22
A01_3_2_i,3,5/26/22,7/14/22
A01_3_2_o,3,5/26/22,7/14/22
A01_3_3_i,3,5/26/22,7/14/22
A01_3_3_o,3,5/26/22,8/1/22
X4_32_1_i,3,5/26/22,8/1/22
X4_32_1_o,3,5/26/22,8/1/22
X4_32_2_i,3,5/26/22,8/1/22
X4_32_2_o,3,5/26/22,7/25/22
X4_32_3_i,3,5/26/22,7/25/22
X4_32_3_o,3,5/26/22,7/25/22
X12_41_1_i,3,5/26/22,7/25/22
X12_41_1_o,3,5/26/22,7/14/22
X12_41_2_i,3,5/26/22,7/25/22
X12_41_2_o,3,5/26/22,7/25/22
X12_41_3_i,3,5/26/22,7/25/22
X12_41_3_o,3,5/26/22,7/25/22
A04_3_1_i,3,5/26/22,7/25/22
A04_3_1_o,3,5/26/22,7/14/22
A04_3_2_i,3,5/26/22,7/25/22
A04_3_2_o,3,5/26/22,7/25/22
A04_3_3_i,3,5/26/22,7/25/22
A04_3_3_o,3,5/26/22,7/14/22
X11_23_1_i,3,5/26/22,8/1/22
X11_23_1_o,3,5/26/22,7/25/22
X11_23_2_i,3,5/26/22,7/25/22
X11_23_2_o,3,5/26/22,7/25/22
X11_23_3_i,3,5/26/22,7/25/22
X11_23_3_o,3,5/26/22,7/25/22
X9_62_1_i,4,5/27/22,6/21/22
X9_62_1_o,4,5/27/22,6/21/22
X9_62_2_i,4,5/27/22,6/21/22
X9_62_2_o,4,5/27/22,6/21/22
X9_62_3_i,4,5/27/22,6/21/22
X9_62_3_o,4,5/27/22,6/21/22
X12_29_1_i,4,5/27/22,6/21/22
X12_29_1_o,4,5/27/22,6/21/22
X12_29_2_i,4,5/27/22,6/21/22
X12_29_2_o,4,5/27/22,6/21/22
X12_29_3_i,4,5/27/22,6/21/22
X12_29_3_o,4,5/27/22,6/21/22
X3_28_1_i,4,5/27/22,6/21/22
X3_28_1_o,4,5/27/22,6/21/22
X3_28_2_i,4,5/27/22,6/21/22
X3_28_2_o,4,5/27/22,6/21/22
X3_28_3_i,4,5/27/22,6/21/22
X3_28_3_o,4,5/27/22,6/21/22
A27_4_1_i,4,5/27/22,6/21/22
A27_4_1_o,4,5/27/22,6/21/22
A27_4_2_i,4,5/27/22,6/21/22
A27_4_2_o,4,5/27/22,6/21/22
A27_4_3_i,4,5/27/22,6/21/22
A27_4_3_o,4,5/27/22,6/21/22
X10_39_1_i,4,5/27/22,6/21/22
X10_39_1_o,4,5/27/22,6/21/22
X10_39_2_i,4,5/27/22,6/21/22
X10_39_2_o,4,5/27/22,6/21/22
X10_39_3_i,4,5/27/22,6/21/22
X10_39_3_o,4,5/27/22,6/21/22
C65_4_1_i,4,5/27/22,6/21/22
C65_4_1_o,4,5/27/22,6/21/22
C65_4_2_i,4,5/27/22,6/21/22
C65_4_2_o,4,5/27/22,6/21/22
C65_4_3_i,4,5/27/22,6/21/22
C65_4_3_o,4,5/27/22,6/21/22
X4_24_1_i,4,5/27/22,6/21/22
X4_24_1_o,4,5/27/22,6/21/22
X4_24_2_i,4,5/27/22,6/21/22
X4_24_2_o,4,5/27/22,6/21/22
X4_24_3_i,4,5/27/22,6/17/22
X4_24_3_o,4,5/27/22,6/17/22
X7_22_1_i,4,5/27/22,6/17/22
X7_22_1_o,4,5/27/22,6/17/22
X7_22_2_i,4,5/27/22,6/17/22
X7_22_2_o,4,5/27/22,6/17/22
X7_22_3_i,4,5/27/22,6/17/22
X7_22_3_o,4,5/27/22,6/17/22
X8_37_1_i,4,5/27/22,6/17/22
X8_37_1_o,4,5/27/22,6/17/22
X8_37_2_i,4,5/27/22,6/17/22
X8_37_2_o,4,5/27/22,6/17/22
X8_37_3_i,4,5/27/22,6/17/22
X8_37_3_o,4,5/27/22,6/17/22
C14_4_1_i,4,5/27/22,6/17/22
C14_4_1_o,4,5/27/22,6/17/22
X11_43_1_i,4,5/27/22,7/25/22
X11_43_1_o,4,5/27/22,7/25/22
X11_43_2_i,4,5/27/22,7/25/22
X11_43_2_o,4,5/27/22,7/25/22
X11_43_3_i,4,5/27/22,7/25/22
X11_43_3_o,4,5/27/22,7/25/22
X12_59_1_i,4,5/27/22,7/25/22
X12_59_1_o,4,5/27/22,7/25/22
X12_59_2_i,4,5/27/22,7/25/22
X12_59_2_o,4,5/27/22,7/25/22
X12_59_3_i,4,5/27/22,7/25/22
X12_59_3_o,4,5/27/22,7/25/22
X2_24_1_i,4,5/27/22,7/25/22
X2_24_1_o,4,5/27/22,7/25/22
X2_24_2_i,4,5/27/22,7/14/22
X2_24_2_o,4,5/27/22,7/14/22
X2_24_3_i,4,5/27/22,7/14/22
X2_24_3_o,4,5/27/22,7/14/22
A03_4_1_i,4,5/27/22,7/14/22
A03_4_1_o,4,5/27/22,7/14/22
A03_4_2_i,4,5/27/22,7/14/22
A03_4_2_o,4,5/27/22,7/14/22
A03_4_3_i,4,5/27/22,7/14/22
A03_4_3_o,4,5/27/22,7/14/22
X6_65_1_i,4,5/27/22,7/14/22
X6_65_1_o,4,5/27/22,7/14/22
X6_65_2_i,4,5/27/22,7/14/22
X6_65_2_o,4,5/27/22,7/14/22
X6_65_3_i,4,5/27/22,7/14/22
X6_65_3_o,4,5/27/22,7/14/22
C64_4_1_i,4,5/27/22,7/14/22
C64_4_1_o,4,5/27/22,7/14/22
C64_4_2_i,4,5/27/22,7/14/22
C64_4_2_o,4,5/27/22,7/14/22
C64_4_3_i,4,5/27/22,7/14/22
C64_4_3_o,4,5/27/22,7/14/22
X5_36_1_i,4,5/27/22,7/14/22
X5_36_1_o,4,5/27/22,7/14/22
X5_36_2_i,4,5/27/22,7/14/22
X5_36_2_o,4,5/27/22,7/14/22
X5_36_3_i,4,5/27/22,7/14/22
X5_36_3_o,4,5/27/22,7/14/22
